Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.550000190734863,5.599999904632568,5.533332824707031,5.5833330154418945,3.3763267993927,985500.0
1996-01-02,5.466666221618652,5.566666126251221,5.288887977600098,5.372221946716309,3.248663902282715,7470000.0
1996-01-03,5.133333206176758,5.254444122314453,5.101110935211182,5.199999809265137,3.144519567489624,15160500.0
1996-01-04,5.199999809265137,5.332221984863281,5.144443988800049,5.29777717590332,3.2036468982696533,12397500.0
1996-01-05,5.29777717590332,5.277777194976807,5.188888072967529,5.202221870422363,3.1458630561828613,5008500.0
1996-01-08,5.202221870422363,5.238887786865234,5.011110782623291,5.042222023010254,3.0491089820861816,12645000.0
1996-01-09,5.042222023010254,5.108888149261475,4.983333110809326,5.02888822555542,3.0410454273223877,8968500.0
1996-01-10,5.02888822555542,5.111111164093018,4.977777004241943,5.012221813201904,3.0309667587280273,2988000.0
1996-01-11,5.012221813201904,5.043333053588867,4.988887786865234,5.038887977600098,3.047093391418457,2227500.0
1996-01-12,5.038887977600098,5.133333206176758,5.02222204208374,5.088888168334961,3.07732892036438,4806000.0
1996-01-15,5.088888168334961,5.111111164093018,5.027777194976807,5.0344438552856445,3.044405698776245,2020500.0
1996-01-16,5.0344438552856445,5.067777156829834,5.0,5.018887996673584,3.034998655319214,3082500.0
1996-01-17,5.018887996673584,5.0444440841674805,5.002222061157227,5.017776966094971,3.0343265533447266,3078000.0
1996-01-18,5.017776966094971,4.997776985168457,4.888887882232666,4.955554962158203,2.996699571609497,5148000.0
1996-01-19,4.955554962158203,4.966666221618652,4.627777099609375,4.741110801696777,2.8670225143432617,16128000.0
1996-01-22,4.741110801696777,4.77555513381958,4.645555019378662,4.70777702331543,2.846864700317383,3946500.0
1996-01-23,4.70777702331543,4.747776985168457,4.377777099609375,4.416666030883789,2.670825719833374,7947000.0
1996-01-24,4.416666030883789,4.477777004241943,4.150000095367432,4.225554943084717,2.555257797241211,15763500.0
1996-01-25,4.225554943084717,4.222221851348877,4.144443988800049,4.18222188949585,2.5290539264678955,8140500.0
1996-01-26,4.18222188949585,4.18222188949585,4.18222188949585,4.18222188949585,2.5290539264678955,0.0
1996-01-29,4.18222188949585,4.505555152893066,4.167777061462402,4.416666030883789,2.670825719833374,9639000.0
1996-01-30,4.416666030883789,4.82111120223999,4.440000057220459,4.6922221183776855,2.837458848953247,15669000.0
1996-01-31,4.6922221183776855,4.650000095367432,4.460000038146973,4.516665935516357,2.731297016143799,9598500.0
1996-02-01,4.516665935516357,4.866665840148926,4.52222204208374,4.79777717590332,2.901289463043213,12573000.0
